,station_distance_error_mean,visibility_mean,dry_bulb_celsius_mean,wet_bulb_celsius_mean,dew_point_celsius_mean,relative_humidity_mean,wind_speed_mean,station_pressure_mean,hourly_precip_mean,altimeter_mean,station_distance_error_max,visibility_max,dry_bulb_celsius_max,wet_bulb_celsius_max,dew_point_celsius_max,relative_humidity_max,wind_speed_max,station_pressure_max,hourly_precip_max,altimeter_max,station_distance_error_min,visibility_min,dry_bulb_celsius_min,wet_bulb_celsius_min,dew_point_celsius_min,relative_humidity_min,wind_speed_min,station_pressure_min,hourly_precip_min,altimeter_min,was_delayed,was_delayed_weather
visibility_max,0.022863057,0.543729765,0.019268586,-0.026988332,-0.026988332,-0.157767982,0.00598035,-0.229831437,-0.02127006,-0.003908746,0.019216412,1,0.049082715,-0.00728807,-0.00728807,-0.077036514,0.032596693,-0.073296879,-0.015241725,0.015387754,0.008195127,0.061941946,-0.013247844,-0.040176127,-0.040176127,-0.158950344,-0.019141506,-0.225120147,-0.013080569,-0.024518233,-0.005153403,0.008766862
dry_bulb_celsius_max,-0.070229585,0.174387154,0.901163382,0.828268426,0.828268426,-0.223007316,-0.166693581,0.010265153,-0.060104376,-0.086340446,-0.008999865,0.049082715,1,0.863058404,0.863058404,-0.062761196,-0.117060109,0.070151363,-0.018422471,-0.183314913,-0.065104948,0.139969339,0.759919158,0.732788338,0.732788338,-0.336891682,-0.175193631,-0.018329245,-0.028836226,0.010047909,0.038520972,0.036697579
wet_bulb_celsius_max,-0.090200407,0.046251684,0.882186991,0.912725947,0.912725947,0.121145356,-0.12518788,0.089096551,0.035819138,-0.139662864,-0.027701702,-0.00728807,0.863058404,1,1,0.160906896,-0.106186812,0.127740139,0.077189507,-0.227141115,-0.074654902,-0.001286725,0.778338032,0.780496427,0.780496427,0.03862647,-0.141984627,0.06645338,-0.01687882,-0.033547851,0.039482837,0.044594707
dew_point_celsius_max,-0.090200407,0.046251684,0.882186991,0.912725947,0.912725947,0.121145356,-0.12518788,0.089096551,0.035819138,-0.139662864,-0.027701702,-0.00728807,0.863058404,1,1,0.160906896,-0.106186812,0.127740139,0.077189507,-0.227141115,-0.074654902,-0.001286725,0.778338032,0.780496427,0.780496427,0.03862647,-0.141984627,0.06645338,-0.01687882,-0.033547851,0.039482837,0.044594707
relative_humidity_max,0.016762414,-0.366352066,-0.051068506,0.133058549,0.133058549,0.744365867,-0.163507443,0.116144185,0.163331869,-0.077030344,0.043236954,-0.077036514,-0.062761196,0.160906896,0.160906896,1,-0.08306553,0.109548575,0.169448643,-0.056091504,-0.032995089,-0.482931384,-0.049864777,0.079101605,0.079101605,0.396381659,-0.190468144,0.102565793,0.013914317,-0.084401974,0.018663524,0.039002866
wind_speed_max,-0.045502771,0.045143718,-0.14097762,-0.164400629,-0.164400629,-0.108815792,0.790929671,-0.141575478,0.134318231,-0.251079441,-0.009049746,0.032596693,-0.117060109,-0.106186812,-0.106186812,-0.08306553,1,-0.060953466,0.136261016,-0.068983773,-0.067987779,-0.018757341,-0.160158813,-0.193826379,-0.193826379,-0.066523949,0.378189735,-0.14090422,0.016493439,-0.38203273,0.037549434,0.033061609
station_pressure_max,-0.159092156,0.004924657,0.028291432,0.054255331,0.054255331,0.054910088,-0.163945143,0.520911811,-0.04179021,0.324535472,-0.04886307,-0.073296879,0.070151363,0.127740139,0.127740139,0.109548575,-0.060953466,1,-0.011750427,0.347854425,-0.168349199,0.00386273,-0.031530628,-0.020592983,-0.020592983,-0.003880851,-0.218846583,0.284778713,-0.028693902,0.230208444,0.041099464,0.008367209
hourly_precip_max,-0.023218636,-0.187868973,0.022727271,0.071465995,0.071465995,0.188264278,0.138260656,0.001256201,0.893020134,-0.14434886,-0.002925491,-0.015241725,-0.018422471,0.077189507,0.077189507,0.169448643,0.136261016,-0.011750427,1,-0.088203608,-0.023890424,-0.283179884,0.036011852,0.051381843,0.051381843,0.146193427,0.072943459,0.006332205,0.061947347,-0.164520537,0.04805802,0.070690438
altimeter_max,0.011389544,0.049640552,-0.27395758,-0.301511204,-0.301511204,-0.128836729,-0.126049447,0.036515144,-0.094049688,0.884440964,0.033670169,0.015387754,-0.183314913,-0.227141115,-0.227141115,-0.056091504,-0.068983773,0.347854425,-0.088203608,1,-0.020024698,0.059330958,-0.325152797,-0.333654813,-0.333654813,-0.154866927,-0.122301489,-0.04981434,-0.032350293,0.618052703,0.016716838,-0.014780186
station_distance_error_min,0.495995261,-0.016073768,-0.028800651,-0.0338088,-0.0338088,-0.004315164,-0.014601912,-0.061146777,-0.000726241,0.029976901,0.117014592,0.008195127,-0.065104948,-0.074654902,-0.074654902,-0.032995089,-0.067987779,-0.168349199,-0.023890424,-0.020024698,1,0.017557451,0.002452568,0.005126418,0.005126418,0.045676346,0.057862407,0.003085011,0.008855181,0.081621647,-0.01583291,-0.013831717
